Total Products Found: 105

Product 1: {'name': 'Alarm Annunciator MBAS 08', 'price': '5120', 'unit': '/Piece', 'id': '265682475'}
Product 2: {'name': 'Tower Lamp With Buzzer Multivoltage', 'price': '600', 'unit': '/Piece', 'id': '155945604'}
Product 3: {'name': 'Industrial Plug And Socket Distribution Box', 'price': '', 'unit': '/Set', 'id': '203163657'}
Product 4: {'name': 'Earth Fault Relay, (Instant / Delayed Trip, Manual Reset) D2 EFR 1', 'price': '1710', 'unit': '/Piece', 'id': '265683029'}
Product 5: {'name': 'R C C B', 'price': '', 'unit': '/', 'id': '274004990'}
Product 6: {'name': 'Industrial Plug And Socket Distribution Box 16A + 32A', 'price': '6600', 'unit': '/Piece', 'id': '230247359'}
Product 7: {'name': 'MEAN WELL Switch Mode Power Supply', 'price': '', 'unit': '/', 'id': '274005057'}
Product 8: {'name': 'Teknic Euchner Limit Switch SINGLE ROLLER PLUNGER SG-01R-552-M', 'price': '1855', 'unit': '/Piece', 'id': '270477271'}
Product 9: {'name': 'BT Solder Wire', 'price': '2450', 'unit': '/Kg', 'id': '155545859'}
Product 10: {'name': 'Teknic Emergency Stop Push Button', 'price': '128', 'unit': '/Piece', 'id': '164302317'}
Product 11: {'name': 'Sonel MPI-540 multifunctional Tester / Meter', 'price': '224000', 'unit': '/Piece', 'id': '276518518'}
Product 12: {'name': 'Digital DC Amp Voltmeter', 'price': '1050', 'unit': '/Piece', 'id': '186369299'}
Product 13: {'name': 'Jumbo Display Humidity Temperature Controller', 'price': '13830', 'unit': '/Piece', 'id': '186370913'}
Product 14: {'name': 'Digital Universal Input PID Controller', 'price': '1175', 'unit': '/Piece', 'id': '186379730'}
Product 15: {'name': 'Energy Meter Em 1340 3 Phase Make Rishabh', 'price': '3699', 'unit': '/Piece', 'id': '290235508'}
Product 16: {'name': 'Multispan VAF Meter', 'price': '1260', 'unit': '/Piece', 'id': '186379871'}
Product 17: {'name': 'Multispan Jumbo Display Programmable Length Counter', 'price': '11050', 'unit': '/Piece', 'id': '186373611'}
Product 18: {'name': 'Multispan DC Multifunction Meter', 'price': '1760', 'unit': '/Piece', 'id': '186369676'}
Product 19: {'name': 'Rish Em 1320, Rish Em 1330, Rish Em 1340 (Programmable)', 'price': '2550', 'unit': '/Piece', 'id': '233775227'}
Product 20: {'name': 'Motor Protection Device', 'price': '1585', 'unit': '/Piece', 'id': '186371630'}
Product 21: {'name': 'Multispan Voltage Protection Relay Panel Mounted', 'price': '1530', 'unit': '/Piece', 'id': '186380217'}
Product 22: {'name': 'Gw Instek Data Acquisition System', 'price': '', 'unit': '/Piece', 'id': '276516856'}
Product 23: {'name': 'POWER FACTOR CONTROLLER APFC 414 -144-3P', 'price': '6300', 'unit': '/Piece', 'id': '303089798'}
Product 24: {'name': 'NIPPEN POWER FACTOR CONTROLLER APFC 414 -1PH', 'price': '3775', 'unit': '/Piece', 'id': '303087552'}
Product 25: {'name': 'NIPPEN SMART LOAD MANAGER SL-6300 MDC', 'price': '4050', 'unit': '/Piece', 'id': '303086520'}
Product 26: {'name': 'NIPPEN SMART LOAD MANAGER SL-6300 / SL-6300DG / SL-6300AL', 'price': '4050', 'unit': '/Piece', 'id': '303085024'}
Product 27: {'name': 'NIPPEN DIGITAL 3 PHASE VOLTMETER DV-33', 'price': '670', 'unit': '/Piece', 'id': '303076924'}
Product 28: {'name': 'NIPPEN POWER FACTOR CONTROLLER  APFC 414 -1P 3 PH', 'price': '6600', 'unit': '/Piece', 'id': '303088255'}
Product 29: {'name': 'NIPPEN DIGITAL ENERGY METER 3 PH EM-3060', 'price': '1550', 'unit': '/Piece', 'id': '303083941'}
Product 30: {'name': 'NIPPEN VAF METER 3PHASE DT-36L-3PH', 'price': '725', 'unit': '/Piece', 'id': '303081479'}
Product 31: {'name': 'NIPPEN DIGITAL AMETER 3 PHASE 3 ROW', 'price': '660', 'unit': '/Piece', 'id': '303074928'}
Product 32: {'name': 'Acti9 iIL double indicator light - Green/Red - 110-230 Vac', 'price': '1325', 'unit': '/Piece', 'id': '300397303'}
Product 33: {'name': 'A9C21732 Product picture Schneider Electric iCT 25A 2NO 230...240V 50Hz MO contact A9C21732', 'price': '3280', 'unit': '/Piece', 'id': '300398251'}
Product 34: {'name': 'NIPPEN DIGITAL 3 PHASE VAF METER DT-36L', 'price': '895', 'unit': '/Piece', 'id': '300335814'}
Product 35: {'name': 'Nippen Panel Meters DIGITAL SINGLE PHASE AMETER', 'price': '490', 'unit': '/Piece', 'id': '300334132'}
Product 36: {'name': 'NIPPEN SINGLE PHASE  DIGITAL VOLT METER DV-1', 'price': '490', 'unit': '/Piece', 'id': '300334581'}
Product 37: {'name': 'Schneider Energy Meter', 'price': '', 'unit': '/', 'id': '299749392'}
Product 38: {'name': 'Multispan Signal Isolator', 'price': '2110', 'unit': '/Piece', 'id': '186375540'}
Product 39: {'name': 'Single Phase Current Controller', 'price': '1981', 'unit': '/Piece', 'id': '186375837'}
Product 40: {'name': 'Digital Voltmeter Ammeter Dc 0 100v VDC', 'price': '250', 'unit': '/Piece', 'id': '227596646'}
Product 41: {'name': 'Crane Pendant 8 way and emergency with double speed', 'price': '1950', 'unit': '/Piece', 'id': '256437615'}
Product 42: {'name': 'Multispan Digital Voltmeter', 'price': '950', 'unit': '/Piece', 'id': '184991738'}
Product 43: {'name': 'Earth Leakage Relay CBCT', 'price': '1320', 'unit': '/Piece', 'id': '186370305'}
Product 44: {'name': 'Multispan Wireless Fault Alarm Annunciator', 'price': '5210', 'unit': '/Piece', 'id': '186370560'}
Product 45: {'name': 'Digital Volt  Ampere Meter', 'price': '1020', 'unit': '/Piece', 'id': '186380094'}
Product 46: {'name': 'OEN 10 A Power Relay', 'price': '370', 'unit': '/Piece', 'id': '155544740'}
Product 47: {'name': 'Omron Limit Switch D4MC 5020', 'price': '1150', 'unit': '/Piece', 'id': '276332647'}
Product 48: {'name': 'HV Surge Tester', 'price': '335000', 'unit': '/Piece', 'id': '169060069'}
Product 49: {'name': 'TELEMECANIQUES LIMIT SWITCH XCKN2118G11 thermoplastic roller lever, 1NC+1NO', 'price': '', 'unit': '/Number', 'id': '281337822'}
Product 50: {'name': 'Reverse Power Relay (1 Ph), RPF D2, MINILEC', 'price': '2310', 'unit': '/Piece', 'id': '265684323'}
Product 51: {'name': 'OMRON Proximity Sensor E2K-X8ME1 2M', 'price': '4100', 'unit': '/Piece', 'id': '285194475'}
Product 52: {'name': 'Telemecanique Limit Switche XCMD2102L1 (STEEL ROLLER PLUNGER)', 'price': '2650', 'unit': '/Piece', 'id': '290234572'}
Product 53: {'name': 'Rishabh Digital Ammeter', 'price': '625', 'unit': '/Piece', 'id': '290237386'}
Product 54: {'name': 'Definite Purpose Contactor 1 Pole', 'price': '350', 'unit': '/Piece', 'id': '291730915'}
Product 55: {'name': 'MEANWELL SMPS RPS-60-15', 'price': '1100', 'unit': '/Piece', 'id': '291731005'}
Product 56: {'name': 'Teknic Euchner Limit Switch NG1 VS 510-M', 'price': '980', 'unit': '/Piece', 'id': '242698301'}
